Constituency_Num,Constituency_Name,Serial_Num,Candidate_Name,Party_Name,EVM_Votes,Postal_Votes,Total_Votes,Vote_Percent,Total_Rounds,Current_Round,State,District,Constituency_Category,Coalition,Election_Year
203,Srivilliputhur,4,Karthik.A,Tamilaga Vettri Kazhagam,64709,944,65653,33.93,24,24,Tamil Nadu,Virudhunagar,SC,,2026
203,Srivilliputhur,5,Chandra.M,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,1684,42,1726,0.89,24,24,Tamil Nadu,Virudhunagar,SC,,2026
203,Srivilliputhur,6,Varatharajan.A,Naam Indiar Party,126,2,128,0.07,24,24,Tamil Nadu,Virudhunagar,SC,,2026
203,Srivilliputhur,7,Dr. Shyam Krishnasamy,Puthiya Tamilagam,9329,193,9522,4.92,24,24,Tamil Nadu,Virudhunagar,SC,,2026
203,Srivilliputhur,8,Alaguraja T,Independent,360,5,365,0.19,24,24,Tamil Nadu,Virudhunagar,SC,,2026
203,Srivilliputhur,9,Sudandiradoss.M,Independent,151,0,151,0.08,24,24,Tamil Nadu,Virudhunagar,SC,,2026
203,Srivilliputhur,10,Suryaprakash.R,Independent,234,1,235,0.12,24,24,Tamil Nadu,Virudhunagar,SC,,2026
203,Srivilliputhur,11,Devialakshmi Saranya.K,Independent,505,4,509,0.26,24,24,Tamil Nadu,Virudhunagar,SC,,2026
203,Srivilliputhur,12,Pandiyammal.M,Independent,339,1,340,0.18,24,24,Tamil Nadu,Virudhunagar,SC,,2026
203,Srivilliputhur,13,Muthuraj.U,Independent,441,2,443,0.23,24,24,Tamil Nadu,Virudhunagar,SC,,2026
203,Srivilliputhur,14,Murugesan.S,Independent,335,6,341,0.18,24,24,Tamil Nadu,Virudhunagar,SC,,2026
203,Srivilliputhur,15,Nota,None of the Above,845,28,873,0.45,24,24,Tamil Nadu,Virudhunagar,SC,,2026
204,Sattur,1,Anandharaja. D.,Naam Tamilar Katchi,9064,171,9235,4.65,21,21,Tamil Nadu,Virudhunagar,General,,2026
204,Sattur,2,Kadarkarairaj. A,Dravida Munnetra Kazhagam,61342,718,62060,31.23,21,21,Tamil Nadu,Virudhunagar,General,SPA,2026
204,Sattur,3,Kamala Vel Selvan. P,Bahujan Samaj Party,400,4,404,0.2,21,21,Tamil Nadu,Virudhunagar,General,,2026
204,Sattur,4,Nainar Nagenthran,Bharatiya Janata Party,55465,606,56071,28.21,21,21,Tamil Nadu,Virudhunagar,General,NDA,2026
204,Sattur,5,Ajith. M,Tamilaga Vettri Kazhagam,52904,594,53498,26.92,21,21,Tamil Nadu,Virudhunagar,General,,2026
204,Sattur,6,Esakkiraja. K,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,11485,117,11602,5.84,21,21,Tamil Nadu,Virudhunagar,General,,2026
204,Sattur,7,Thanga Durai. P,Puthiya Makkal Tamil Desam Katchi,130,0,130,0.07,21,21,Tamil Nadu,Virudhunagar,General,,2026
204,Sattur,8,Muthukannu. C,Tamilaga Makkal Nala Katchi,100,5,105,0.05,21,21,Tamil Nadu,Virudhunagar,General,,2026
204,Sattur,9,Velmurugan. S,Puthiya Tamilagam,2293,50,2343,1.18,21,21,Tamil Nadu,Virudhunagar,General,,2026
204,Sattur,10,Ajithkumar. S,Independent,86,0,86,0.04,21,21,Tamil Nadu,Virudhunagar,General,,2026
204,Sattur,11,Kaliraj. M,Independent,86,0,86,0.04,21,21,Tamil Nadu,Virudhunagar,General,,2026
204,Sattur,12,Saravanan. P,Independent,186,4,190,0.1,21,21,Tamil Nadu,Virudhunagar,General,,2026
204,Sattur,13,Thanga Mariappan. J,Independent,239,0,239,0.12,21,21,Tamil Nadu,Virudhunagar,General,,2026
204,Sattur,14,Narmada Nandhakumar,Independent,85,3,88,0.04,21,21,Tamil Nadu,Virudhunagar,General,,2026
204,Sattur,15,Mahendran. M,Independent,230,1,231,0.12,21,21,Tamil Nadu,Virudhunagar,General,,2026
204,Sattur,16,Maheshkumar. M,Independent,193,0,193,0.1,21,21,Tamil Nadu,Virudhunagar,General,,2026
204,Sattur,17,Manivasagam.S,Independent,456,0,456,0.23,21,21,Tamil Nadu,Virudhunagar,General,,2026
204,Sattur,18,Mayakkannan. V,Independent,462,0,462,0.23,21,21,Tamil Nadu,Virudhunagar,General,,2026
204,Sattur,19,Mutharasan. M,Independent,126,0,126,0.06,21,21,Tamil Nadu,Virudhunagar,General,,2026
204,Sattur,20,Ramesh Kumar. B,Independent,339,1,340,0.17,21,21,Tamil Nadu,Virudhunagar,General,,2026
