constituency_no,constituency,serial_num,candidate_name,party,evmvotes,postalvotes,totalvotes,vote_percent,coalition
149,Khagaria,2,Bablu Kumar,Janata Dal (United),93657,331,93988,51.29,NDA
149,Khagaria,3,Jayanti Patel,Jan Suraaj Party,4185,47,4232,2.31,
149,Khagaria,4,Navin Kumar,Jagrook Janta Party,399,2,401,0.22,
149,Khagaria,5,Vinay Kumar Verma,Bhartiya Lok Chetna Party,454,5,459,0.25,
149,Khagaria,6,Amitabh Kumar,Independent,337,0,337,0.18,
149,Khagaria,7,Tinku Kumar Laheri,Independent,517,1,518,0.28,
149,Khagaria,8,Madhu Kumar Bharti,Independent,1009,6,1015,0.55,
149,Khagaria,9,Manish Kumar Singh,Independent,5398,109,5507,3.01,
149,Khagaria,10,Lalan Kumar,Independent,2545,0,2545,1.39,
149,Khagaria,11,Nota,None of the Above,3656,6,3662,2,
150,Beldaur,1,Panna Lal Singh Patel,Janata Dal (United),105955,307,106262,48.87,NDA
150,Beldaur,2,Mithilesh Kumar Nishad,Indian National Congress,70794,293,71087,32.7,MGB
150,Beldaur,3,Rahul Kumar Basu,Aam Aadmi Party,2391,1,2392,1.1,
150,Beldaur,4,Vidya Nand Yadav,Bahujan Samaj Party,1029,3,1032,0.47,
150,Beldaur,5,Sunita Sharma,Rashtriya Lok Janshakti Party,4960,18,4978,2.29,GDA
150,Beldaur,6,Ajay Kumar,Rashtriya Jansambhavna Party,851,2,853,0.39,
150,Beldaur,7,Atal Bihari,GaribJanta Party Loktantrik,615,2,617,0.28,
150,Beldaur,8,Avdesh Kumar Pandit,Bhagidari Party(P),1197,4,1201,0.55,
150,Beldaur,9,Gajendra Kumar Singh,Jan Suraaj Party,5200,35,5235,2.41,
150,Beldaur,10,Jamil Ahmad,All India Forward Bloc,636,0,636,0.29,
150,Beldaur,11,Tanisha Bharti,Indian Inclusive Party,9168,20,9188,4.23,MGB
150,Beldaur,12,Randhir Kesari,Independent,1184,1,1185,0.55,
