constituency_no,constituency,serial_num,candidate_name,party,evmvotes,postalvotes,totalvotes,vote_percent,coalition
69,Korha,7,Wakil Das,Independent,1229,19,1248,0.52,
69,Korha,8,Vinod Kumar Mirdha,Independent,1345,1,1346,0.56,
69,Korha,9,Nota,None of the Above,3158,4,3162,1.33,
70,Alamnagar,1,Narendra Narayan Yadav,Janata Dal (United),138291,110,138401,53.98,NDA
70,Alamnagar,2,Akhatar Mansuri,The National Road Map Party of India,2574,2,2576,1,
70,Alamnagar,3,Nabin Kumar,Vikassheel Insaan Party,82874,62,82936,32.35,MGB
70,Alamnagar,4,Mohan Sharma,Rashtriya Jansambhavna Party,1790,1,1791,0.7,
70,Alamnagar,5,Subodh Kumar Suman,Jan Suraaj Party,8916,18,8934,3.48,
70,Alamnagar,6,Amar Kumar Singh,Independent,1042,1,1043,0.41,
70,Alamnagar,7,Chano Rishidev,Independent,2160,1,2161,0.84,
70,Alamnagar,8,Binod Ashish,Independent,2707,0,2707,1.06,
70,Alamnagar,9,Rubi Kumari,Independent,4692,3,4695,1.83,
70,Alamnagar,10,Vikram Kumar Gupta,Independent,3177,1,3178,1.24,
70,Alamnagar,11,Nota,None of the Above,7958,1,7959,3.1,
71,Bihariganj,1,Niranjan Kumar Mehta,Janata Dal (United),116535,87,116622,52.12,NDA
71,Bihariganj,2,Rabindra Kumar,Bahujan Samaj Party,2198,1,2199,0.98,
71,Bihariganj,3,Renu Kumari,Rashtriya Janata Dal,84876,124,85000,37.99,MGB
71,Bihariganj,4,Amlesh Roy,Jan Suraaj Party,4471,15,4486,2,
71,Bihariganj,5,Pankaj Kumar Jaiswal,Socialist Unity Centre Of India (COMMUNIST),2491,2,2493,1.11,
71,Bihariganj,6,Karn Kumar Mishra,Independent,5369,3,5372,2.4,
71,Bihariganj,7,Mohammad Sajam,Independent,1658,1,1659,0.74,
71,Bihariganj,8,Nota,None of the Above,5914,1,5915,2.64,
72,Singheshwar,1,Chandrahas Chaupal,Rashtriya Janata Dal,103314,120,103434,45.13,MGB
72,Singheshwar,2,Ramesh Rishi,Janata Dal (United),106345,71,106416,46.43,NDA
72,Singheshwar,3,Subhash Kumar,Bahujan Samaj Party,1923,1,1924,0.84,
72,Singheshwar,4,Pramod Kumar Ram,Jan Suraaj Party,3500,16,3516,1.53,
72,Singheshwar,5,Bablu Rishidev,Independent,917,1,918,0.4,
72,Singheshwar,6,Bambam Kumar,Independent,1184,0,1184,0.52,
72,Singheshwar,7,Manju Devi,Independent,1908,1,1909,0.83,
72,Singheshwar,8,Virendra Kumar Sharma,Independent,3977,1,3978,1.74,
72,Singheshwar,9,Nota,None of the Above,5894,1,5895,2.57,
73,Madhepura,1,Kavita Kumari Saha,Janata Dal (United),100579,76,100655,42.01,NDA
73,Madhepura,2,Chandra Shekhar,Rashtriya Janata Dal,108342,122,108464,45.27,MGB
73,Madhepura,3,Mukesh Kumar,Aam Aadmi Party,3647,5,3652,1.52,
73,Madhepura,4,Lalan Kumar Ram,Bahujan Samaj Party,775,6,781,0.33,
73,Madhepura,5,Kameshwar Yadav,Aadarsh Mithila Party,447,1,448,0.19,
73,Madhepura,6,Pradeep Kumar,Jagrook Janta Party,496,1,497,0.21,
73,Madhepura,7,Mohammad Asif Alam,The National Road Map Party of India,888,1,889,0.37,
73,Madhepura,8,Shashi Kumar,Jan Suraaj Party,4618,16,4634,1.93,
73,Madhepura,9,Sanjay Yadav,Janshakti Janta Dal,1277,1,1278,0.53,
73,Madhepura,10,Surendra Yadav,"Proutist Bloc, India",1751,0,1751,0.73,
73,Madhepura,11,Pranav Prakash,Independent,7873,21,7894,3.29,
73,Madhepura,12,Sanjay Kumar,Independent,2818,1,2819,1.18,
73,Madhepura,13,Nota,None of the Above,5827,1,5828,2.43,
74,Sonbarsha,1,Kiran Devi,Bahujan Samaj Party,5012,7,5019,2.43,
74,Sonbarsha,2,Ratnesh Sada,Janata Dal (United),97606,227,97833,47.39,NDA
74,Sonbarsha,3,Sarita Devi,Indian National Congress,84034,345,84379,40.87,MGB
74,Sonbarsha,4,Satyendra Kumar,Jan Suraaj Party,5635,20,5655,2.74,
74,Sonbarsha,5,Parmod Sada,Independent,3986,12,3998,1.94,
74,Sonbarsha,6,Rajesh Ram,Independent,4034,4,4038,1.96,
74,Sonbarsha,7,Nota,None of the Above,5516,6,5522,2.67,
75,Saharsa,1,Ajablal Mehta,Bahujan Samaj Party,2225,11,2236,0.86,
75,Saharsa,2,Alok Ranjan,Bharatiya Janata Party,112622,376,112998,43.5,NDA
75,Saharsa,3,Amar Shankar,Swadhinta Party,2960,4,2964,1.14,
75,Saharsa,4,Indrajeet Prasad Gupta,Indian Inclusive Party,114498,538,115036,44.28,MGB
75,Saharsa,5,Kishor Kumar,Jan Suraaj Party,12655,131,12786,4.92,
75,Saharsa,6,Bittu Kumar,Rashtriya Samaj Paksha,855,2,857,0.33,
75,Saharsa,7,Md Amirul Hasan,Rashtriya Jansambhavna Party,2302,2,2304,0.89,
75,Saharsa,8,Devchandra Yadav,Independent,4335,18,4353,1.68,
75,Saharsa,9,Mohammad Nazir,Independent,1550,17,1567,0.6,
75,Saharsa,10,Ramesh Sah,Independent,2051,4,2055,0.79,
75,Saharsa,11,Nota,None of the Above,2597,10,2607,1,
76,Simri Bakhtiarpur,1,Yusuf Salahuddin,Rashtriya Janata Dal,101257,512,101769,43.54,MGB
76,Simri Bakhtiarpur,2,Sanjay Kumar Singh,Lok Janshakti Party (Ram Vilas),109403,296,109699,46.94,NDA
76,Simri Bakhtiarpur,3,Sunita Devi,Bahujan Samaj Party,1379,8,1387,0.59,
76,Simri Bakhtiarpur,4,Pintu Kumar Sharma,Jagrook Janta Party,523,8,531,0.23,
76,Simri Bakhtiarpur,5,Bibhuti Singh,Rashtrawadi Janlok Party (Satya),253,3,256,0.11,
76,Simri Bakhtiarpur,6,Surendra Kumar Yadav,Jan Suraaj Party,2233,37,2270,0.97,
76,Simri Bakhtiarpur,7,Awdhesh Kumar,Independent,333,0,333,0.14,
76,Simri Bakhtiarpur,8,Anand Ranjan,Independent,258,0,258,0.11,
76,Simri Bakhtiarpur,9,Domi Sharma,Independent,535,1,536,0.23,
76,Simri Bakhtiarpur,10,Pankaj Kumar,Independent,419,1,420,0.18,
76,Simri Bakhtiarpur,11,Barun Kumar Yadav,Independent,1081,0,1081,0.46,
76,Simri Bakhtiarpur,12,Yapura Wadat,Independent,565,0,565,0.24,
76,Simri Bakhtiarpur,13,Yogbir Roy,Independent,695,0,695,0.3,
76,Simri Bakhtiarpur,14,Rajkumar Sada,Independent,1435,1,1436,0.61,
76,Simri Bakhtiarpur,15,Vikash Raj,Independent,7487,6,7493,3.21,
76,Simri Bakhtiarpur,16,Nota,None of the Above,4993,3,4996,2.14,
77,Mahishi,1,Gunjeshwar Sah,Janata Dal (United),89739,273,90012,44.35,NDA
77,Mahishi,2,Gautam Krishna,Rashtriya Janata Dal,93246,506,93752,46.19,MGB
77,Mahishi,3,Priyanka Anand,Bahujan Samaj Party,1202,5,1207,0.59,
77,Mahishi,4,Vijay Kumar Gupta,Aam Aadmi Party,846,1,847,0.42,
77,Mahishi,5,Devnarayan Yadav,Janshakti Janta Dal,336,2,338,0.17,
77,Mahishi,6,Shamim Akhtar,Jan Suraaj Party,2534,37,2571,1.27,
77,Mahishi,7,Arvind Kumar,Independent,651,2,653,0.32,
77,Mahishi,8,Tiro Sharma,Independent,329,1,330,0.16,
77,Mahishi,9,Maharudra Jha,Independent,397,1,398,0.2,
77,Mahishi,10,Ranjit Sada,Independent,757,1,758,0.37,
77,Mahishi,11,Raja Kumar,Independent,567,0,567,0.28,
77,Mahishi,12,Rahul Paswan,Independent,518,1,519,0.26,
77,Mahishi,13,Sushil Kumar Rajak,Independent,1199,2,1201,0.59,
77,Mahishi,14,Suraj Samrat,Independent,3142,0,3142,1.55,
77,Mahishi,15,Nota,None of the Above,6668,3,6671,3.29,
78,Kusheshwar Asthan,1,Atirek Kumar,Janata Dal (United),85453,232,85685,52.25,NDA
78,Kusheshwar Asthan,2,Yogi Chaupal,Aam Aadmi Party,3459,5,3464,2.11,
78,Kusheshwar Asthan,3,Dukhi Ram Rasiya,Aam Janta Pragati Party,792,5,797,0.49,
78,Kusheshwar Asthan,4,Shatrudhan Paswan,Jan Suraaj Party,6458,30,6488,3.96,
78,Kusheshwar Asthan,5,Satya Narayan Paswan,Mazdoor Ekta Party,5127,0,5127,3.13,
78,Kusheshwar Asthan,6,Ganga Paswan,Independent,1206,0,1206,0.74,
78,Kusheshwar Asthan,7,Ganesh Bharti,Independent,48982,262,49244,30.03,
78,Kusheshwar Asthan,8,Jeebachh Kumar Hajari,Independent,1198,3,1201,0.73,
78,Kusheshwar Asthan,9,Shreemati Anju Devi,Independent,2138,4,2142,1.31,
78,Kusheshwar Asthan,10,Sachidanand Paswan,Independent,2170,1,2171,1.32,
78,Kusheshwar Asthan,11,Nota,None of the Above,6446,5,6451,3.93,
79,Gaura Bauram,1,Afzal Ali Khan,Rashtriya Janata Dal,71646,367,72013,42.81,MGB
79,Gaura Bauram,2,Sujit Kumar,Bharatiya Janata Party,77446,236,77682,46.18,NDA
79,Gaura Bauram,3,Akhtar Shahansha,All India Majlis-E-Ittehadul Muslimeen,3231,12,3243,1.93,
79,Gaura Bauram,4,Dr Md Iftekhar Alam,Jan Suraaj Party,2495,11,2506,1.49,
79,Gaura Bauram,5,Santosh Sahani,Vikassheel Insaan Party,341,52,393,0.23,MGB
79,Gaura Bauram,6,Saroj Chaudhary,Mithilanchal Mukti Morcha,279,0,279,0.17,
79,Gaura Bauram,7,Soni Devi,Rashtriya Janwadi Party (Socialist),183,0,183,0.11,
79,Gaura Bauram,8,Krishan Kumar,Independent,209,0,209,0.12,
79,Gaura Bauram,9,Nand Kishore Sharma,Independent,349,1,350,0.21,
79,Gaura Bauram,10,Pankaj Kumar Sahu,Independent,437,0,437,0.26,
79,Gaura Bauram,11,Bachelal Jha,Independent,716,0,716,0.43,
79,Gaura Bauram,12,Shyam Sundar Choudhary,Independent,6524,25,6549,3.89,
79,Gaura Bauram,13,Nota,None of the Above,3662,1,3663,2.18,
80,Benipur,1,Pramod Paswan,Bahujan Samaj Party,1992,9,2001,1.06,
80,Benipur,2,Mithilesh Kumar Choudhary,Indian National Congress,70205,399,70604,37.48,MGB
80,Benipur,3,Binay Kumar Choudhary,Janata Dal (United),83781,426,84207,44.7,NDA
80,Benipur,4,Amresh Kumar Amar,Jan Suraaj Party,6519,39,6558,3.48,
80,Benipur,5,Pramila Jha,Bhartiya Mahasangh Party,712,2,714,0.38,
80,Benipur,6,Pramod Kumar Sahu,Rashtriya Samajwadi Lok Adhikar Party,564,1,565,0.3,
80,Benipur,7,Vidyanand Ram,Wazib Adhikar Party,815,1,816,0.43,
80,Benipur,8,Shankar Dom Urf Shankar Mallik,Aam Janta Pragati Party,391,1,392,0.21,
80,Benipur,9,Siya Lakhan Yadav,Open people's Party,862,1,863,0.46,
80,Benipur,10,Amarjee Mishra,Independent,697,2,699,0.37,
80,Benipur,11,Avadhesh Kumar Jha,Independent,5400,28,5428,2.88,
80,Benipur,12,Imtiyaz Ahmad,Independent,1419,3,1422,0.75,
80,Benipur,13,Chun Chun Jha,Independent,6531,1,6532,3.47,
80,Benipur,14,Mahendra Narayan Mahto,Independent,4457,0,4457,2.37,
80,Benipur,15,Nota,None of the Above,3103,5,3108,1.65,
81,Alinagar,1,Maithili Thakur,Bharatiya Janata Party,84611,304,84915,49.05,NDA
81,Alinagar,2,Rajipal Jha,Aam Aadmi Party,1484,0,1484,0.86,
81,Alinagar,3,Binod Mishra,Rashtriya Janata Dal,72639,546,73185,42.27,MGB
81,Alinagar,4,Navijan Ansari,Aam Janta Pragati Party,671,0,671,0.39,
81,Alinagar,5,Nooruddin Zangi,Social Democratic Party Of India,310,2,312,0.18,
81,Alinagar,6,Biplaw Kumar Choudhary,Jan Suraaj Party,2259,16,2275,1.31,
81,Alinagar,7,Sanjay Kumar Jha,Mithilawadi party,418,4,422,0.24,
81,Alinagar,8,Sitambar Sharma,Jagrook Janta Party,331,0,331,0.19,
81,Alinagar,9,Ganesh Choudhary,Independent,317,3,320,0.18,
81,Alinagar,10,Chandu Chaudhry,Independent,776,2,778,0.45,
81,Alinagar,11,Saifuddin Ahmed,Independent,2792,11,2803,1.62,
81,Alinagar,12,Hari Lal Sharma,Independent,869,1,870,0.5,
81,Alinagar,13,Nota,None of the Above,4748,3,4751,2.74,
82,Darbhanga Rural,1,Jagat Narayan Nayak,Bahujan Samaj Party,2117,1,2118,1.16,
82,Darbhanga Rural,2,Rajesh Kumar Mandal,Janata Dal (United),80355,269,80624,44.05,NDA
82,Darbhanga Rural,3,Lalit Kumar Yadav,Rashtriya Janata Dal,61902,330,62232,34,MGB
82,Darbhanga Rural,4,Md Jalaluddin Sahil,All India Majlis-E-Ittehadul Muslimeen,16966,42,17008,9.29,
82,Darbhanga Rural,5,Pradeep Kumar Mishra,Aam Janta Pragati Party,471,1,472,0.26,
82,Darbhanga Rural,6,Mohammad Kalam,Bharat Jan Jagran Dal,744,0,744,0.41,
82,Darbhanga Rural,7,Roshan,Vikas Insaf Party,427,0,427,0.23,
82,Darbhanga Rural,8,Shoaib Ahmed Khan,Jan Suraaj Party,3792,22,3814,2.08,
82,Darbhanga Rural,9,Abdul Quddus,Independent,638,1,639,0.35,
82,Darbhanga Rural,10,Uday Chandra Chaupal,Independent,585,0,585,0.32,
82,Darbhanga Rural,11,Jai Kishun Sahni,Independent,2330,0,2330,1.27,
82,Darbhanga Rural,12,Ram Sukamar Yadav,Independent,2900,1,2901,1.58,
82,Darbhanga Rural,13,Shyam Paswan,Independent,4637,1,4638,2.53,
82,Darbhanga Rural,14,Nota,None of the Above,4510,6,4516,2.47,
83,Darbhanga,1,Durga Nanda Mahavir Nayak,Bahujan Samaj Party,938,15,953,0.49,
83,Darbhanga,2,Sanjay Saraogi,Bharatiya Janata Party,96952,501,97453,49.66,NDA
83,Darbhanga,3,Abhishek Kumar Jha,Mithilawadi party,1624,4,1628,0.83,
83,Darbhanga,4,Ashish Ranjan,Aam Janta Pragati Party,1511,2,1513,0.77,
83,Darbhanga,5,Umesh Sahani,Vikassheel Insaan Party,72465,395,72860,37.13,MGB
83,Darbhanga,6,Pushpam Priya,The Plurals Party,1396,7,1403,0.71,
83,Darbhanga,7,Rakesh Kumar Mishra,Jan Suraaj Party,11610,148,11758,5.99,
83,Darbhanga,8,Mojahid Alam,Socialist Unity Centre Of India (COMMUNIST),343,2,345,0.18,
83,Darbhanga,9,Ranjeet Kumar Ram,Wazib Adhikar Party,851,1,852,0.43,
83,Darbhanga,10,Md Shaquib Najmi,Akhil Bharatiya Socialist Party,1853,3,1856,0.95,
83,Darbhanga,11,Mohammad Amajad Khan,Independent,465,5,470,0.24,
83,Darbhanga,12,Md Nafisul Haque,Independent,2270,44,2314,1.18,
83,Darbhanga,13,Sujeet Kumar Chaudhary,Independent,1363,0,1363,0.69,
83,Darbhanga,14,Nota,None of the Above,1453,15,1468,0.75,
84,Hayaghat,1,Nageshwar Das,Bahujan Samaj Party,1107,8,1115,0.66,
84,Hayaghat,2,Ravindra Nath Singh,Aam Aadmi Party,1906,16,1922,1.14,
84,Hayaghat,3,Ram Chandra Prasad,Bharatiya Janata Party,76915,307,77222,45.68,NDA
84,Hayaghat,4,Shyam Bharti,Communist Party of India (Marxist),64951,432,65383,38.68,MGB
84,Hayaghat,5,Irshad Ali,Desh Janhit Party,1195,5,1200,0.71,
84,Hayaghat,6,Jagnnath Singh,Janshakti Janta Dal,1461,4,1465,0.87,
84,Hayaghat,7,Pratibha Singh,Jan Suraaj Party,5675,84,5759,3.41,
84,Hayaghat,8,Harsha Narayan Pandit,Bhagidari Party(P),1135,2,1137,0.67,
84,Hayaghat,9,Usha Akela,Independent,437,3,440,0.26,
84,Hayaghat,10,Naresh Kumar Nawal,Independent,999,2,1001,0.59,
84,Hayaghat,11,Probhendra Jha,Independent,3576,2,3578,2.12,
84,Hayaghat,12,Mohammad Mahtab Alam,Independent,3665,2,3667,2.17,
84,Hayaghat,13,Lakshmi Das,Independent,2371,8,2379,1.41,
84,Hayaghat,14,Nota,None of the Above,2762,5,2767,1.64,
85,Bahadurpur,1,Pranay Prabhakar,Bahujan Samaj Party,2744,15,2759,1.3,
85,Bahadurpur,2,Bhola Yadav,Rashtriya Janata Dal,83881,408,84289,39.6,MGB
85,Bahadurpur,3,Madan Sahni,Janata Dal (United),95949,351,96300,45.24,NDA
85,Bahadurpur,4,Suresh Prasad Singh,Rashtriya Lok Janshakti Party,1582,4,1586,0.75,GDA
85,Bahadurpur,5,Anju Devi,Bhagidari Party(P),1466,2,1468,0.69,
85,Bahadurpur,6,Birendra Kumar Paswan,Republican Party of India (Bhimrao Ambedkar),733,4,737,0.35,
85,Bahadurpur,7,Mohammad Amir Haider,Jan Suraaj Party,5547,32,5579,2.62,
85,Bahadurpur,8,Ranjeet Sharma,Gantantrik Samaj Party,766,2,768,0.36,
85,Bahadurpur,9,Rajnish Kumar,Jantantra Awaj Party,401,0,401,0.19,
85,Bahadurpur,10,Asad Ali,Independent,403,1,404,0.19,
85,Bahadurpur,11,Umesh Choudhary,Independent,1253,9,1262,0.59,
85,Bahadurpur,12,Dileep Kumar,Independent,1768,10,1778,0.84,
85,Bahadurpur,13,Ram Gulam Thakur,Independent,2319,1,2320,1.09,
85,Bahadurpur,14,Ram Chatur Sahni,Independent,6311,1,6312,2.97,
85,Bahadurpur,15,Vinai Kumar Singh,Independent,2376,3,2379,1.12,
85,Bahadurpur,16,Sanjay Prasad Ojha,Independent,1712,0,1712,0.8,
85,Bahadurpur,17,Sanjay Kumar Singh,Independent,816,0,816,0.38,
85,Bahadurpur,18,Nota,None of the Above,1979,14,1993,0.94,
86,Keoti,1,Faraz Fatmi,Rashtriya Janata Dal,81470,348,81818,42.48,MGB
86,Keoti,2,Manoj Kumar Mahto,Bahujan Samaj Party,962,2,964,0.5,
86,Keoti,3,Murari Mohan Jha,Bharatiya Janata Party,88908,215,89123,46.28,NDA
86,Keoti,4,Biltu Sahni,Jan Suraaj Party,4792,24,4816,2.5,
86,Keoti,5,Mohammad Anisur Rahman,All India Majlis-E-Ittehadul Muslimeen,7465,9,7474,3.88,
86,Keoti,6,Mohammad Pintu Khan,Akhil Bharatiya Socialist Party,306,0,306,0.16,
86,Keoti,7,Yogesh Ranjan,Proutist Sarva Samaj,455,5,460,0.24,
86,Keoti,8,Gulab Babu Rain,Independent,541,0,541,0.28,
86,Keoti,9,Dhirendra Kumar Dheeraj,Independent,3886,9,3895,2.02,
86,Keoti,10,Balaram Thakur,Independent,736,1,737,0.38,
86,Keoti,11,Nota,None of the Above,2453,1,2454,1.27,
87,Jale,1,Rishi Mishra,Indian National Congress,78363,271,78634,39.25,MGB
87,Jale,2,Jibesh Kumar,Bharatiya Janata Party,100289,207,100496,50.16,NDA
87,Jale,3,Rohit Kumar,Bahujan Samaj Party,1243,3,1246,0.62,
87,Jale,4,Faishal Rahman,All India Majlis-E-Ittehadul Muslimeen,4657,9,4666,2.33,
87,Jale,5,Mumtaz Ali,Jan Mithila Vikas Party,393,0,393,0.2,
87,Jale,6,Ranjit Sharma,Jan Suraaj Party,5130,20,5150,2.57,
87,Jale,7,Syed Md Mahtab,The Plurals Party,501,1,502,0.25,
87,Jale,8,Maskoor Ahmad Usmani,Independent,4576,29,4605,2.3,
87,Jale,9,Mohammad Piyare,Independent,1865,0,1865,0.93,
87,Jale,10,Nota,None of the Above,2804,4,2808,1.4,
88,Gaighat,1,Ishrat Perween,Bahujan Samaj Party,2787,7,2794,1.25,
88,Gaighat,2,Komal Singh,Janata Dal (United),107845,259,108104,48.31,NDA
88,Gaighat,3,Niranjan Roy,Rashtriya Janata Dal,84366,321,84687,37.84,MGB
88,Gaighat,4,Ashok Kumar Singh,Jan Suraaj Party,10718,72,10790,4.82,
88,Gaighat,5,Umesh Prasad Singh,Janshakti Janta Dal,1223,3,1226,0.55,
88,Gaighat,6,Kunal Kumar,Jan Sahmati Party,2966,3,2969,1.33,
88,Gaighat,7,Mithilesh Manjhi,Independent,3263,1,3264,1.46,
88,Gaighat,8,Subodh Kumar Singh,Independent,6156,1,6157,2.75,
88,Gaighat,9,Nota,None of the Above,3778,10,3788,1.69,
89,Aurai,1,Rama Nishad,Bharatiya Janata Party,103893,192,104085,50.06,NDA
89,Aurai,2,Sheo Shankar Gupta,Aam Aadmi Party,3325,8,3333,1.6,
89,Aurai,3,Md. Aftab Alam,Aazad Samaj Party (Kanshi Ram),31363,67,31430,15.12,GDA
89,Aurai,4,Bhogendra Sahni,Vikassheel Insaan Party,46691,188,46879,22.55,MGB
89,Aurai,5,Radha Raman,Jan Suraaj Party,8648,57,8705,4.19,
89,Aurai,6,Akhilesh Kumar,Independent,8893,22,8915,4.29,
89,Aurai,7,Harischandra Prasad Yadav,Independent,1125,5,1130,0.54,
89,Aurai,8,Nota,None of the Above,3436,7,3443,1.66,
90,Minapur,1,Ajay Kumar,Janata Dal (United),113091,320,113411,51.59,NDA
90,Minapur,2,Kumar Pushpendra,Bahujan Samaj Party,3160,2,3162,1.44,
90,Minapur,3,Rajeev Kumar Urf Munna Yadav,Rashtriya Janata Dal,78926,247,79173,36.01,MGB
90,Minapur,4,Jitendra Prasad,Rashtriya Jansambhavna Party,1502,0,1502,0.68,
90,Minapur,5,Tej Narayan Sahni,Jan Suraaj Party,6608,25,6633,3.02,
90,Minapur,6,Dharmvir Kumar Sharma,Jagrook Janta Party,806,1,807,0.37,
90,Minapur,7,Shiv Kumar Yadav,Socialist Unity Centre Of India (COMMUNIST),1049,1,1050,0.48,
90,Minapur,8,Deenanath Prasad,Independent,750,0,750,0.34,
90,Minapur,9,Ramesh Kumar,Independent,714,3,717,0.33,
90,Minapur,10,Sanjiv Chaudhri,Independent,2649,5,2654,1.21,
90,Minapur,11,Santosh Kumar,Independent,2177,2,2179,0.99,
90,Minapur,12,Nota,None of the Above,7800,5,7805,3.55,
91,Bochahan,1,Dr. Abhay Kumar,Aam Aadmi Party,2725,6,2731,1.25,
91,Bochahan,2,Amar Kumar Paswan,Rashtriya Janata Dal,87508,362,87870,40.15,MGB
91,Bochahan,3,Baby Kumari,Lok Janshakti Party (Ram Vilas),107892,294,108186,49.43,NDA
91,Bochahan,4,Rahul Kumar,Bahujan Samaj Party,1972,4,1976,0.9,
91,Bochahan,5,Umesh Kumar Rajak,Jan Suraaj Party,5207,48,5255,2.4,
91,Bochahan,6,Jaymangal Ram,Rashtriya Jansambhavna Party,2278,2,2280,1.04,
91,Bochahan,7,Rajgeer Paswan,Bajjikanchal Vikas Party,3811,1,3812,1.74,
91,Bochahan,8,Deepmala Devi,Independent,2926,2,2928,1.34,
91,Bochahan,9,Nota,None of the Above,3805,10,3815,1.74,
92,Sakra,1,Ashok Kumar,Bahujan Samaj Party,2556,8,2564,1.24,
92,Sakra,2,Aditya Kumar,Janata Dal (United),98485,238,98723,47.9,NDA
92,Sakra,3,Umesh Kumar Ram,Indian National Congress,83403,270,83673,40.6,MGB
92,Sakra,4,Ram Sewak Paswan,Socialist Unity Centre Of India (COMMUNIST),3058,1,3059,1.48,
92,Sakra,5,Renu Kumari Urf Renu Paswan,Jan Suraaj Party,6372,42,6414,3.11,
92,Sakra,6,Shiv Narayan,Samata Party,1105,0,1105,0.54,
92,Sakra,7,Sachindra Kumar,Independent,3438,3,3441,1.67,
92,Sakra,8,Sateesh Kumar,Independent,3594,0,3594,1.74,
92,Sakra,9,Nota,None of the Above,3527,8,3535,1.72,
93,Kurhani,1,Kedar Pd Gupta,Bharatiya Janata Party,107493,318,107811,46.49,NDA
93,Kurhani,2,Vijayesh Kumar,Bahujan Samaj Party,2109,8,2117,0.91,
93,Kurhani,3,Sunil Kumar Suman,Rashtriya Janata Dal,97685,408,98093,42.3,MGB
93,Kurhani,4,Ajay Kumar Sahani,Socialist Party (India),793,1,794,0.34,
93,Kurhani,5,Alok Kumar Singh,Rashtriya Jansambhavna Party,555,0,555,0.24,
93,Kurhani,6,Md Gulam Masoom,Janshakti Janta Dal,521,3,524,0.23,
93,Kurhani,7,Baiju Kumar Ray,Samata Party,306,1,307,0.13,
93,Kurhani,8,Mohammad Ali Irfan,Jan Suraaj Party,4039,36,4075,1.76,
93,Kurhani,9,Rohit Kumar,Right to Recall Party,238,2,240,0.1,
93,Kurhani,10,Sanjeet Manjhi,Socialist Unity Centre Of India (COMMUNIST),435,1,436,0.19,
93,Kurhani,11,Arvind Kumar,Independent,276,2,278,0.12,
93,Kurhani,12,Gulab Kumar Rajak,Independent,491,3,494,0.21,
93,Kurhani,13,Dinesh Kumar Ray,Independent,769,2,771,0.33,
93,Kurhani,14,Dharmendra Kumar,Independent,6712,21,6733,2.9,
93,Kurhani,15,Pramod Kumar Sharma,Independent,838,1,839,0.36,
93,Kurhani,16,Manish Kumar,Independent,3363,5,3368,1.45,
93,Kurhani,17,Sanjeet Kumar Jha,Independent,1845,0,1845,0.8,
93,Kurhani,18,Dr. Santosh Kumar,Independent,400,2,402,0.17,
93,Kurhani,19,Sumit Kumar Jha,Independent,1208,1,1209,0.52,
93,Kurhani,20,Suresh Kumar Gupta,Independent,263,1,264,0.11,
93,Kurhani,21,Nota,None of the Above,721,8,729,0.31,
94,Muzaffarpur,1,Balak Nath Sahani,Bahujan Samaj Party,593,1,594,0.32,
94,Muzaffarpur,2,Ranjan Kumar,Bharatiya Janata Party,100060,417,100477,53.43,NDA
94,Muzaffarpur,3,Bijendra Chaudhary,Indian National Congress,67456,364,67820,36.06,MGB
94,Muzaffarpur,4,Md Hasan,Aam Aadmi Party,433,1,434,0.23,
94,Muzaffarpur,5,Ajay Kumar,Bajjikanchal Vikas Party,220,1,221,0.12,
94,Muzaffarpur,6,Aman Kumar Jha,Socialist Unity Centre Of India (COMMUNIST),171,0,171,0.09,
94,Muzaffarpur,7,Ashok Kumar Jha,Garib Janshakti Party,301,0,301,0.16,
94,Muzaffarpur,8,Dr. A.K. Das,Jan Suraaj Party,10077,96,10173,5.41,
94,Muzaffarpur,9,Dhanvanti Devi,Lok Chetna Dal,275,0,275,0.15,
94,Muzaffarpur,10,Manoj Kumar,Rashtriya Jansambhavna Party,223,0,223,0.12,
94,Muzaffarpur,11,Shanu Kumar,Aazad Samaj Party (Kanshi Ram),656,7,663,0.35,GDA
94,Muzaffarpur,12,Awadhesh Prasad Singh,Independent,272,1,273,0.15,
94,Muzaffarpur,13,Anand Patel,Independent,386,2,388,0.21,
94,Muzaffarpur,14,Kanhaiya Kumar,Independent,803,2,805,0.43,
94,Muzaffarpur,15,Chandra Bhushan Prasad,Independent,954,3,957,0.51,
94,Muzaffarpur,16,Baskit Kumar Sharma,Independent,604,0,604,0.32,
94,Muzaffarpur,17,Md Shabbir Ansari,Independent,221,1,222,0.12,
94,Muzaffarpur,18,Sanjay Kumar S/O Jatan Rajak,Independent,753,0,753,0.4,
94,Muzaffarpur,19,Sanjay Kumar S/O Late Nand Kishor Prasad,Independent,460,0,460,0.24,
94,Muzaffarpur,20,Sanjay Kumar Kejriwal,Independent,1645,6,1651,0.88,
94,Muzaffarpur,21,Nota,None of the Above,597,9,606,0.32,
95,Kanti,1,Ajit Kumar,Janata Dal (United),116893,406,117299,50.43,NDA
95,Kanti,2,Mohammad Israil Mansuri,Rashtriya Janata Dal,91136,368,91504,39.34,MGB
95,Kanti,3,Vivek Kumar,Bahujan Samaj Party,1197,3,1200,0.52,
95,Kanti,4,Anand Kumar Jha,Lok Chetna Dal,387,0,387,0.17,
95,Kanti,5,Kumari Sheetal,Aazad Samaj Party (Kanshi Ram),2584,10,2594,1.12,GDA
