State,District,Constituency_Num,Constituency_Name,Constituency_Category
West Bengal,Murshidabad,75,Domkal,General
West Bengal,Murshidabad,76,	Jalangi,General
West Bengal,Nadia,77,Karimpur,General
West Bengal,Nadia,78,Tehatta,General
West Bengal,Nadia,79,Palashipara,General
West Bengal,Nadia,80,Kaliganj,General
West Bengal,Nadia,81,Nakashipara,General
West Bengal,Nadia,82,Chapra,General
West Bengal,Nadia,83,Krishnanagar Uttar,General
West Bengal,Nadia,84,Nabadwip,General
West Bengal,Nadia,85,Krishnanagar Dakshin,General
West Bengal,Nadia,86,Santipur,General
West Bengal,Nadia,87,Ranaghat Uttar Paschim,General
West Bengal,Nadia,88,Krishnaganj,SC
West Bengal,Nadia,89,Ranaghat Uttar Purba,SC
West Bengal,Nadia,90,Ranaghat Dakshin,SC
West Bengal,Nadia,91,Chakdaha,General
West Bengal,Nadia,92,Kalyani,SC
West Bengal,Nadia,93,Haringhata,SC
West Bengal,North 24 Parganas,94,Bagda,SC
West Bengal,North 24 Parganas,95,Bangaon Uttar,SC
West Bengal,North 24 Parganas,96,Bangaon Dakshin,SC
West Bengal,North 24 Parganas,97,Gaighata,SC
West Bengal,North 24 Parganas,98,Swarupnagar,SC
West Bengal,North 24 Parganas,99,Baduria,General
West Bengal,North 24 Parganas,100,Habra,General
West Bengal,North 24 Parganas,101,Ashoknagar,General
West Bengal,North 24 Parganas,102,Amdanga,General
West Bengal,North 24 Parganas,103,Bijpur,General
West Bengal,North 24 Parganas,104,Naihati,General
West Bengal,North 24 Parganas,105,Bhatpara,General
West Bengal,North 24 Parganas,106,Jagatdal,General
West Bengal,North 24 Parganas,107,Noapara,General
West Bengal,North 24 Parganas,108,Barrackpur,General
West Bengal,North 24 Parganas,109,Khardaha,General
West Bengal,North 24 Parganas,110,Dum Dum Uttar,General
West Bengal,North 24 Parganas,111,Panihati,General		
West Bengal,North 24 Parganas,112,Kamarhati,General		
West Bengal,North 24 Parganas,113,Baranagar,General
West Bengal,North 24 Parganas,114,Dum Dum,General		
West Bengal,North 24 Parganas,115,Rajarhat New Town,General
West Bengal,North 24 Parganas,116,Bidhannagar,General
West Bengal,North 24 Parganas,117,Rajarhat Gopalpur,General
West Bengal,North 24 Parganas,118,Madhyamgram,General
West Bengal,North 24 Parganas,119,Barasat,General
West Bengal,North 24 Parganas,120,Deganga,General
West Bengal,North 24 Parganas,121,Haroa,General
West Bengal,North 24 Parganas,122,Minakhan,	SC
West Bengal,North 24 Parganas,123,Sandeshkhali,ST
West Bengal,North 24 Parganas,124,Basirhat Dakshin,General
West Bengal,North 24 Parganas,125,Basirhat Uttar,General
West Bengal,North 24 Parganas,126,Hingalganj,SC
West Bengal,South 24 Parganas,127,Gosaba,SC
West Bengal,South 24 Parganas,128,Basanti,SC
West Bengal,South 24 Parganas,129,Kultali,SC
West Bengal,South 24 Parganas,130,Patharpratima,General
West Bengal,South 24 Parganas,131,Kakdwip,General
West Bengal,South 24 Parganas,132,Sagar,General
West Bengal,South 24 Parganas,133,Kulpi,General
West Bengal,South 24 Parganas,134,Raidighi,General
West Bengal,South 24 Parganas,135,Mandirbazar,SC
West Bengal,South 24 Parganas,136,Jaynagar,SC
West Bengal,South 24 Parganas,137,Baruipur Purba,SC
West Bengal,South 24 Parganas,138,Canning Paschim,SC
West Bengal,South 24 Parganas,139,Canning Purba,General
West Bengal,South 24 Parganas,140,Baruipur Paschim,General
West Bengal,South 24 Parganas,141,Magrahat Purba,SC
West Bengal,South 24 Parganas,142,Magrahat Paschim,SC
West Bengal,South 24 Parganas,143,Diamond Harbour,General
West Bengal,South 24 Parganas,144,Falta,General
West Bengal,South 24 Parganas,145,Satgachhia,General
West Bengal,South 24 Parganas,146,"Bishnupur, South 24 Parganas",SC
West Bengal,South 24 Parganas,147,Sonarpur Dakshin,General
West Bengal,South 24 Parganas,148,Bhangar,General
West Bengal,South 24 Parganas,149,Kasba,General
West Bengal,South 24 Parganas,150,Jadavpur,General
West Bengal,South 24 Parganas,151,Sonarpur Uttar,General
West Bengal,South 24 Parganas,152,Tollyganj,General
West Bengal,South 24 Parganas,153,Behala Purba,General
West Bengal,South 24 Parganas,154,Behala Paschim,General
West Bengal,South 24 Parganas,155,Maheshtala,General
West Bengal,South 24 Parganas,156,Budge Budge,General
West Bengal,South 24 Parganas,157,Metiaburuz,General
West Bengal,Kolkata,158,Kolkata Port,General
West Bengal,Kolkata,159,Bhabanipur,General
West Bengal,Kolkata,160,Rashbehari,General
West Bengal,Kolkata,161,Ballygunge,General
West Bengal,Kolkata,162,Chowranghee,General
West Bengal,Kolkata,163,Entally,General
West Bengal,Kolkata,164,Beleghata,General
West Bengal,Kolkata,165,Jorasanko,General
West Bengal,Kolkata,166,Shyampukur,General
West Bengal,Kolkata,167,Maniktola,General
West Bengal,Kolkata,168,Kashipur Belgachhia,General
West Bengal,Howrah,169,Bally,General
West Bengal,Howrah,170,Howrah Uttar,General
West Bengal,Howrah,171,Howrah Madhya,General
West Bengal,Howrah,172,Shibpur,General
West Bengal,Howrah,173,Howrah Dakshin,General
West Bengal,Howrah,174,Sankrail,SC
West Bengal,Howrah,175,Panchla,General
West Bengal,Howrah,176,Uluberia Purba,Uluberia
West Bengal,Howrah,177,Uluberia Uttar,SC
West Bengal,Howrah,178,Uluberia Dakshin,General
West Bengal,Howrah,179,Shyampur,General
West Bengal,Howrah,180,Bagnan,General
West Bengal,Howrah,181,Amta,General
West Bengal,Howrah,182,Udaynarayanpur,General
West Bengal,Howrah,183,Jagatballavpur,General
West Bengal,Howrah,184,Domjur,General
West Bengal,Hooghly,185,Uttarpara,General
West Bengal,Hooghly,186,Sreerampur,General
West Bengal,Hooghly,187,Champdani,General
West Bengal,Hooghly,188,Singur,General
West Bengal,Hooghly,189,Chandannagar,General
